epoch:50/4000, FID:5609.067207827745
epoch:100/4000, FID:4374.6031879984785
epoch:150/4000, FID:3702.146607093923
epoch:200/4000, FID:3423.69247306274
epoch:250/4000, FID:3211.3903659544026
epoch:300/4000, FID:2890.013626363813
epoch:350/4000, FID:2728.5674698229386
epoch:400/4000, FID:2831.8376403839475
epoch:450/4000, FID:2603.228653433427
epoch:500/4000, FID:2551.8425341175816
epoch:550/4000, FID:2440.5472896521487
epoch:600/4000, FID:2278.5953456070333
epoch:650/4000, FID:2326.466399853381
epoch:700/4000, FID:2197.21910163854
epoch:750/4000, FID:2227.9307153934387
epoch:800/4000, FID:2468.787943106411
epoch:850/4000, FID:2130.800617625747
epoch:900/4000, FID:2212.0177323910416
epoch:950/4000, FID:2092.8452863794896
epoch:1000/4000, FID:2139.674156538671
epoch:1050/4000, FID:2195.5705392985496
epoch:1100/4000, FID:2191.9299264244037
epoch:1150/4000, FID:2064.0935082462966
epoch:1200/4000, FID:2080.7604893330176
epoch:1250/4000, FID:2136.6082327681743
epoch:1300/4000, FID:2048.312197769699
epoch:1350/4000, FID:2158.5316810626787
epoch:1400/4000, FID:2145.6586807892445
epoch:1450/4000, FID:2158.3394879401667
epoch:1500/4000, FID:2043.3192653053898
epoch:1550/4000, FID:2088.7841803453985
epoch:1600/4000, FID:2050.1818233544645
epoch:1650/4000, FID:2148.8114187819456
epoch:1700/4000, FID:2139.160383026215
epoch:1750/4000, FID:2169.6088407758034
epoch:1800/4000, FID:2206.7236545473506
epoch:1850/4000, FID:2146.0878164256656
epoch:1900/4000, FID:2168.1896383982994
epoch:1950/4000, FID:2099.4960330338163
epoch:2000/4000, FID:2141.3543528153914
epoch:2050/4000, FID:2122.7206017979584
epoch:2100/4000, FID:2077.8501776372473
epoch:2150/4000, FID:2116.9280462772763
epoch:2200/4000, FID:2085.8709628903894
epoch:2250/4000, FID:2111.995427706035
epoch:2300/4000, FID:2146.372735110476
epoch:2350/4000, FID:2131.2492894108705
epoch:2400/4000, FID:2084.670636367711
epoch:2450/4000, FID:2134.654651725469
epoch:2500/4000, FID:2111.0926125618266
epoch:2550/4000, FID:2137.227876553375
epoch:2600/4000, FID:2153.7070487864726
epoch:2650/4000, FID:2141.234913292572
epoch:2700/4000, FID:2113.5905786238227
epoch:2750/4000, FID:2147.5716016112674
epoch:2800/4000, FID:2179.458948853625
epoch:2850/4000, FID:2121.0326329039367
epoch:2900/4000, FID:2062.6295688502187
epoch:2950/4000, FID:2114.984417361713
epoch:3000/4000, FID:2084.582346010855
epoch:3050/4000, FID:2124.7037545111175
epoch:3100/4000, FID:2112.4566763012085
epoch:3150/4000, FID:2165.9105262164676
epoch:3200/4000, FID:2111.301646001695
epoch:3250/4000, FID:2110.5376046449896
epoch:3300/4000, FID:2125.5112369648095
epoch:3350/4000, FID:2117.7813487707817
epoch:3400/4000, FID:2122.9694948155493
epoch:3450/4000, FID:2111.043427142198
epoch:3500/4000, FID:2125.7354399583273
epoch:3550/4000, FID:2124.029235894664
epoch:3600/4000, FID:2082.551775506645
epoch:3650/4000, FID:2101.006279766548
epoch:3700/4000, FID:2124.9681669196184
epoch:3750/4000, FID:2108.6709257707503
epoch:3800/4000, FID:2115.945266056446
epoch:3850/4000, FID:2152.9625235429257
epoch:3900/4000, FID:2158.751117935153
epoch:3950/4000, FID:2189.9147484628775
epoch:4000/4000, FID:2142.6407499427164
